contigIdx	contigIdxMate	AvgCoverage
432	16517	0.123136
433	433	2.32951
433	11799	0.39576
433	15096	0.396643
434	434	3.52652
434	7673	0.185304
435	435	2.8418
435	4604	0.644592
435	16520	0.110375
436	436	2.78776
437	437	1.45579
438	438	45.671
438	1393	0.00839526
438	2974	0.00828181
438	4295	0.00833853
438	5333	0.0255261
438	6173	0.00850871
438	9854	0.00850871
438	9953	0.397186
438	10694	0.00845198
438	11056	0.236032
438	12869	0.00850871
438	13845	0.541834
438	15053	0.00839526
438	16566	0.00850871
438	17844	0.0170174
438	18348	0.00845198
439	439	3.22361
439	14159	0.124688
440	440	2.7824
440	3708	0.358598
440	7077	0.488998
441	441	4.42655
441	4884	0.35271
442	442	6.12865
442	9632	0.0118101
442	15334	0.0707031
442	16809	0.0348791
443	443	7.31621
443	568	0.0494939
443	15042	0.0166833
443	15180	0.0830831
443	18270	0.0166833
444	444	3.89037
445	140	0.0408667
445	445	5.65387
445	5831	0.202139
446	446	3.98455
446	5491	0.0445633
446	16564	0.262626
447	447	2.1662
448	448	7.06516
448	5271	0.164013
449	449	4.97501
449	7112	0.0878895
450	450	2.86169
450	635	0.542311
451	451	3.19329
451	17187	0.0993289
452	452	2.71716
453	453	3.23379
453	9070	0.360288
453	11552	0.713371
454	454	7.65724
454	2827	0.0725163
454	12864	0.209572
455	455	6.96415
455	4779	0.0209263
455	8061	0.125279
456	456	10.0794
456	5641	0.0349162
456	15357	0.0168762
457	457	6.02146
457	8569	0.0238474
457	14069	0.0238474
458	157	0.026672
458	227	0.0268061
458	458	28.6178
458	488	0.00670151
458	5155	0.00670151
458	6429	0.00670151
458	6503	0.00670151
458	6574	0.00670151
458	7570	0.00656748
458	7884	0.00647813
458	8110	0.0200152
458	8587	0.00670151
458	12792	0.105303
458	12846	0.0201045
458	13003	0.0530313
458	14905	0.00670151
458	17577	0.00625475
458	17729	0.00670151
459	459	2.52125
460	460	3.4505
460	1654	0.0552079
460	5567	0.165624
461	461	3.15577
462	462	11.5969
462	3735	2.38249
463	463	3.75145
463	8146	0.870406
464	464	3.37037
465	465	8.02184
465	10810	0.149822
465	12756	0.151007
466	466	2.01753
466	1408	0.954582
467	467	6.52168
467	1938	0.0342309
467	2842	0.0328617
467	11144	0.136467
468	468	3.58152
469	469	2.17361
470	470	7.56568
470	3570	0.0486043
470	17729	0.0246305
471	471	3.01042
472	472	1.71085
473	473	2.35499
474	474	2.85282
475	475	29.8674
475	807	0.00344622
475	1518	0.00172311
475	1718	0.0016427
475	1726	0.00172311
475	1952	0.0153931
475	2038	0.00165418
475	2070	0.00172311
475	2228	0.00172311
475	2641	0.00172311
475	3613	0.0325208
475	3671	0.00172311
475	4663	0.00172311
475	5536	0.00172311
475	7120	0.00172311
475	7929	0.00172311
475	8357	0.00172311
475	8913	0.00171162
475	9086	0.00166567
475	9913	0.00171162
475	11649	0.00170013
475	12667	0.00172311
475	13096	0.00344622
475	13182	0.00166567
475	13348	0.00172311
475	14861	0.00172311
475	16109	0.00342324
475	16415	0.00172311
475	17179	0.00338878
475	17594	0.0119928
