Cohort	Threshold	FPR	TPR
CN	0.823917658599392	0.0185185185185185	0.27027027027027
CN	0.821734833489045	0.0185185185185185	0.283783783783784
CN	0.814486381757766	0.0185185185185185	0.297297297297297
CN	0.813159685603668	0.0185185185185185	0.310810810810811
CN	0.812818652589206	0.0185185185185185	0.324324324324324
CN	0.809819527273804	0.0185185185185185	0.337837837837838
CN	0.809188343901848	0.0185185185185185	0.351351351351351
CN	0.808565717780128	0.0185185185185185	0.364864864864865
CN	0.795882265608568	0.0185185185185185	0.378378378378378
CN	0.756643699236042	0.0185185185185185	0.391891891891892
CN	0.743776160246062	0.0185185185185185	0.405405405405405
CN	0.718912178200484	0.0185185185185185	0.418918918918919
CN	0.671165796015608	0.0185185185185185	0.432432432432432
CN	0.658532066407113	0.0185185185185185	0.445945945945946
CN	0.637792894212495	0.0185185185185185	0.459459459459459
CN	0.620510094164762	0.0185185185185185	0.472972972972973
CN	0.599509013638795	0.0185185185185185	0.486486486486487
CN	0.59815927356268	0.0185185185185185	0.5
CN	0.593307662799571	0.0185185185185185	0.513513513513513
CN	0.583107477379277	0.0185185185185185	0.527027027027027
CN	0.564697063828568	0.0185185185185185	0.540540540540541
CN	0.548363188814428	0.0185185185185185	0.554054054054054
CN	0.543190944553616	0.037037037037037	0.554054054054054
CN	0.541081122237774	0.0555555555555556	0.554054054054054
CN	0.538374154923683	0.0555555555555556	0.567567567567568
CN	0.537334570119777	0.0555555555555556	0.581081081081081
CN	0.535865641614729	0.0555555555555556	0.594594594594595
CN	0.532770933440931	0.0555555555555556	0.608108108108108
CN	0.531882643747847	0.0555555555555556	0.621621621621622
CN	0.528427245133972	0.0555555555555556	0.635135135135135
CN	0.527143246753894	0.0740740740740741	0.635135135135135
CN	0.52700217732975	0.0925925925925926	0.635135135135135
CN	0.525991210149884	0.111111111111111	0.635135135135135
CN	0.518074088319694	0.111111111111111	0.648648648648649
CN	0.516317527693184	0.111111111111111	0.662162162162162
CN	0.515227985887784	0.12962962962963	0.662162162162162
CN	0.508612827411316	0.12962962962963	0.675675675675676
CN	0.502873367687642	0.12962962962963	0.689189189189189
CN	0.498201757844743	0.12962962962963	0.702702702702703
CN	0.489245303463368	0.12962962962963	0.716216216216216
CN	0.489229626721901	0.12962962962963	0.72972972972973
CN	0.488148958638347	0.148148148148148	0.72972972972973
CN	0.481572557139066	0.148148148148148	0.743243243243243
CN	0.477374004598552	0.166666666666667	0.743243243243243
CN	0.476572935948447	0.166666666666667	0.756756756756757
CN	0.474929178265821	0.166666666666667	0.77027027027027
